step,phi,theta,A_phi,berry_phase,spinor_re,spinor_im,closure_abs_pair_0_phase
0,0.000000000000,1.570796326795,0.500000000000,0.000000000000,1.000000000000,0.000000000000,2.000000000000
1,0.392699081699,1.570796326795,0.500000000000,0.196349540849,0.980785280403,0.195090322016,1.990369453344
2,0.785398163397,1.570796326795,0.500000000000,0.392699081699,0.923879532511,0.382683432365,1.961570560806
3,1.178097245096,1.570796326795,0.500000000000,0.589048622548,0.831469612303,0.555570233020,1.913880671464
4,1.570796326795,1.570796326795,0.500000000000,0.785398163397,0.707106781187,0.707106781187,1.847759065023
5,1.963495408494,1.570796326795,0.500000000000,0.981747704247,0.555570233020,0.831469612303,1.763842528697
6,2.356194490192,1.570796326795,0.500000000000,1.178097245096,0.382683432365,0.923879532511,1.662939224606
7,2.748893571891,1.570796326795,0.500000000000,1.374446785946,0.195090322016,0.980785280403,1.546020906726
8,3.141592653590,1.570796326795,0.500000000000,1.570796326795,0.000000000000,1.000000000000,1.414213562373
9,3.534291735289,1.570796326795,0.500000000000,1.767145867644,-0.195090322016,0.980785280403,1.268786568328
10,3.926990816987,1.570796326795,0.500000000000,1.963495408494,-0.382683432365,0.923879532511,1.111140466039
11,4.319689898686,1.570796326795,0.500000000000,2.159844949343,-0.555570233020,0.831469612303,0.942793473651
12,4.712388980385,1.570796326795,0.500000000000,2.356194490192,-0.707106781187,0.707106781187,0.765366864730
13,5.105088062083,1.570796326795,0.500000000000,2.552544031042,-0.831469612303,0.555570233020,0.580569354509
14,5.497787143782,1.570796326795,0.500000000000,2.748893571891,-0.923879532511,0.382683432365,0.390180644032
15,5.890486225481,1.570796326795,0.500000000000,2.945243112740,-0.980785280403,0.195090322016,0.196034280659
16,6.283185307180,1.570796326795,0.500000000000,3.141592653590,-1.000000000000,0.000000000000,0.000000000000
