fermion,class,generation,seed_pair,old_tau_eigenvalue,old_tau_log_relative_to_electron,old_tau_log_abs,v26_pred_mass_GeV,target_mass_GeV_validation_only,required_log_release_target_over_v26_pred_validation_only,required_action_shift_kappa_units_validation_only,old_tau_bridge_action_shift_kappa_units,old_tau_bridge_residual_quanta_validation_only,anchor_used,uses_observed_mass_as_input,old_tau_promoted_to_model_input,quarantine_reason
e,charged_lepton,1,3-5,4.0,0.0,1.3862943611198906,0.000510543093128432,0.00051099895,0.0008924877931226487,8.204774161022133e-06,0.0,0.0008924877931226487,e,True,False,old tau table is colocated with observed masses/fitted old solvers; use as bridge candidate only
d,down_quark,1,3-5,0.1,-3.6888794541139363,-2.3025850929940455,0.014479337356962246,0.00467,-1.131563551588894,-0.010402633471486733,-0.033912422177050594,2.5573159025250423,e,False,False,old tau table is colocated with observed masses/fitted old solvers; use as bridge candidate only
u,up_quark,1,3-5,0.05,-4.382026634673881,-2.995732273553991,0.02148694997522843,0.00216,-2.2973375512555325,-0.021119768723936977,-0.040284628184424,2.0846890834183487,e,False,False,old tau table is colocated with observed masses/fitted old solvers; use as bridge candidate only
mu,charged_lepton,2,5-7,1.0,-1.3862943611198906,0.0,0.0015629254539386583,0.1056583755,4.213651660746098,0.03873673179178886,-0.012744412014746825,5.599946021865989,e,False,False,old tau table is colocated with observed masses/fitted old solvers; use as bridge candidate only
s,down_quark,2,5-7,0.4,-2.3025850929940455,-0.916290731874155,0.044325592119681,0.0934,0.7453291347697065,0.006851922540048782,-0.021168010162303765,3.047914227763752,e,False,False,old tau table is colocated with observed masses/fitted old solvers; use as bridge candidate only
c,up_quark,2,5-7,5.0,0.22314355131420976,1.6094379124341003,0.0657779950157736,1.27,2.960486819305638,0.027216199421729755,0.0020513921401835284,2.7373432679914282,e,False,False,old tau table is colocated with observed masses/fitted old solvers; use as bridge candidate only
tau,charged_lepton,3,11-13,10.0,0.9162907318741551,2.302585092994046,0.019087820582466296,1.77686,4.533552574764996,0.04167762888153641,0.008423598147556942,3.6172618428908407,e,False,False,old tau table is colocated with observed masses/fitted old solvers; use as bridge candidate only
b,down_quark,3,11-13,10.0,0.9162907318741551,2.302585092994046,0.5413431251374698,4.18,2.044013205320746,0.018790920011495328,0.008423598147556942,1.1277224734465907,e,False,False,old tau table is colocated with observed masses/fitted old solvers; use as bridge candidate only
t,up_quark,3,11-13,100.0,3.2188758248682006,4.605170185988092,0.8033387414424474,172.69,5.370476888698751,0.049371599643499756,0.029591608309860705,2.1516010638305505,e,False,False,old tau table is colocated with observed masses/fitted old solvers; use as bridge candidate only
