up_particle,down_particle,up_generation,down_generation,up_seed_pair,down_seed_pair,raw_basis_inner_product,phase_gap_rad,ramanujan_sigma_up,ramanujan_sigma_down,ramanujan_gap,information_quantum_kappa,zeta_heisenberg_width,white_thread_open_coherence,oriented_open_holonomy_overlap,abs_open_holonomy_overlap,uses_observed_mass,uses_observed_CKM,uses_observed_PMNS,uses_old_tau,uses_fitted_white_thread_values,status,feature_hash
u,d,1,1,11-13,11-13,0.41356526255069287,1.1444299017734298,30.674130570191966,30.674130570191966,0.0,0.009193150006360484,0.0006224027435083134,0.9895342354920907,0.40923698590418567,0.40923698590418567,False,False,False,False,False,structural_open_holonomy_only_not_CKM,682d22df18c20a519c02fc3ff42c14f77509fa54faf15d8d3bc93af11f4932b7
u,s,1,2,11-13,11-13,0.4256607789497871,1.131104329452905,30.674130570191966,30.674130570191966,0.0,0.009193150006360484,0.0006185351082154768,0.9896554648048782,0.42125751604075806,0.42125751604075806,False,False,False,False,False,structural_open_holonomy_only_not_CKM,29930b2dd725612b8f27b61cbcd0926807e337465cf6122fb48936fe2bce8e89
u,b,1,3,11-13,101-103,0.25385780937835745,1.3141296811447833,30.674130570191966,261.6275910329191,230.95346046272712,0.009193150006360484,0.00014457367885618418,0.9738386445488915,0.24721654499317047,0.24721654499317047,False,False,False,False,False,structural_open_holonomy_only_not_CKM,a952965d79ac9f5097117250be1a1e7c73711181b7e47eb412f8ab9b3eaac74a
c,d,2,1,101-103,11-13,0.24927043151978043,1.3188694935278569,261.6275910329191,30.674130570191966,230.95346046272712,0.009193150006360484,0.0001448697954130446,0.9737962116169742,0.24273860188209057,0.24273860188209057,False,False,False,False,False,structural_open_holonomy_only_not_CKM,637b1a6cbdf0136352b9bc38ccd60a4234bb29e5add00f2dba90c3a8b48d99ac
c,s,2,2,101-103,11-13,0.24256738988442728,1.3257849210780484,261.6275910329191,30.674130570191966,230.95346046272712,0.009193150006360484,0.0001453018320486492,0.9737343049164046,0.2361961887844993,0.2361961887844993,False,False,False,False,False,structural_open_holonomy_only_not_CKM,17f02f48129ca7ecb96a0f9d799147675099f11686a7a2cffc54eda887c3490e
c,b,2,3,101-103,101-103,0.41981264566696713,1.1375574424374784,261.6275910329191,261.6275910329191,0.0,0.009193150006360484,7.4824149809442e-05,0.9895967557943725,0.41544523219348306,0.41544523219348306,False,False,False,False,False,structural_open_holonomy_only_not_CKM,668ce653a0db21d9dc1d04191d3927292fd8cfc941e365c6d9c0cabf03e0f535
t,d,3,1,101-103,11-13,0.27242258379503936,1.2948863761995313,261.6275910329191,30.674130570191966,230.95346046272712,0.009193150006360484,0.0001433714664598978,0.9740109382612125,0.2653425764457501,0.2653425764457501,False,False,False,False,False,structural_open_holonomy_only_not_CKM,27af491df342fe9b2198336a5a330c43b940fc2d3e5db67d64ac202bf678210a
t,s,3,2,101-103,11-13,0.27675666702597507,1.290379032933384,261.6275910329191,30.674130570191966,230.95346046272712,0.009193150006360484,0.00014308987325310212,0.9740512988796808,0.26957519099026234,0.26957519099026234,False,False,False,False,False,structural_open_holonomy_only_not_CKM,d896481099eb79cc464acf75908f5fdb60ba585141a822224b01aa3e956b9a69
t,b,3,3,101-103,101-103,0.38044377788483386,1.1805202161282027,261.6275910329191,261.6275910329191,0.0,0.009193150006360484,7.632804062942306e-05,0.9892059786463887,0.3763372596224964,0.3763372596224964,False,False,False,False,False,structural_open_holonomy_only_not_CKM,54ecde1904e1ff1faf62e5578072b2f11d66b56ef3a06a8fb2f8078859474936
