transition,source_atom,source_value,target_release_action_from_v6_1_scoring_only,relative_error_abs,absolute_error
e_to_mu,e.eb_action_kappa_v16,0.049448007317,0.04901418717813788,0.008850909580228938,0.0004338201388621177
e_to_mu,mu.eb_action_kappa_v16,0.047247334088,0.04901418717813788,0.03604778925979957,-0.001766853090137882
e_to_mu,tau.eb_action_kappa_v16,0.043026404996,0.04901418717813788,0.12216426563141392,-0.005987782182137878
e_to_mu,tau.OI_tau_v2_action,0.032595712478785836,0.04901418717813788,0.3349739258080624,-0.016418474699352044
e_to_mu,e.OI_tau_v2_action,0.02757945001908145,0.04901418717813788,0.4373169972431391,-0.02143473715905643
e_to_mu,tau.OI_terminal_axis_signature,0.02751959975353426,0.04901418717813788,0.43853807768928976,-0.02149458742460362
e_to_mu,mu.OI_terminal_axis_signature,0.027046966447594616,0.04901418717813788,0.4481808634448078,-0.021967220730543264
e_to_mu,e.OI_terminal_axis_signature,0.02380221923133768,0.04901418717813788,0.5143810271742231,-0.0252119679468002
mu_to_tau,mu.OI_terminal_axis_signature,0.027046966447594616,0.025946673251106167,0.042405944910164584,0.0011002931964884492
mu_to_tau,tau.OI_terminal_axis_signature,0.02751959975353426,0.025946673251106167,0.06062150963268631,0.0015729265024280945
mu_to_tau,e.OI_tau_v2_action,0.02757945001908145,0.025946673251106167,0.06292817395793415,0.001632776767975283
mu_to_tau,e.OI_terminal_axis_signature,0.02380221923133768,0.025946673251106167,0.08264851524567074,-0.002144454019768486
mu_to_tau,mu.OI_tau_v2_action,0.02297653978452739,0.025946673251106167,0.1144706852333045,-0.0029701334665787754
mu_to_tau,tau.ramanujan_scaled_action,0.022453736748409954,0.025946673251106167,0.13461982077210233,-0.003492936502696213
mu_to_tau,tau.OI_tau_v2_action,0.032595712478785836,0.025946673251106167,0.2562578702607359,0.006649039227679669
mu_to_tau,mu.ramanujan_scaled_action,0.009434835198791994,0.025946673251106167,0.6363759196609236,-0.016511838052314175
e_to_tau,e.eb_action_kappa_v16,0.049448007317,0.07496086042924405,0.3403489896747619,-0.02551285311224405
e_to_tau,mu.eb_action_kappa_v16,0.047247334088,0.07496086042924405,0.36970661999541743,-0.02771352634124405
e_to_tau,tau.eb_action_kappa_v16,0.043026404996,0.07496086042924405,0.4260150597308998,-0.031934455433244045
e_to_tau,tau.OI_tau_v2_action,0.032595712478785836,0.07496086042924405,0.565163576136468,-0.04236514795045821
e_to_tau,e.OI_tau_v2_action,0.02757945001908145,0.07496086042924405,0.632081997709807,-0.0473814104101626
e_to_tau,tau.OI_terminal_axis_signature,0.02751959975353426,0.07496086042924405,0.6328804179147576,-0.047441260675709786
e_to_tau,mu.OI_terminal_axis_signature,0.027046966447594616,0.07496086042924405,0.6391854856959067,-0.04791389398164943
e_to_tau,e.OI_terminal_axis_signature,0.02380221923133768,0.07496086042924405,0.6824713711256727,-0.05115864119790636
