gen_i,gen_j,mean_F_dir,mean_F_sym_abs,mean_F_sym_cos
1,1,1.000000787640943,1.0009727183578587,1.0089526665924828
1,2,1.0045532605457708,1.0045532605457708,1.0072765987876044
1,3,1.0114568991112503,1.0114568991112503,1.002085651426283
2,1,0.9954817984385975,1.0045532605457708,1.0072765987876044
2,2,1.0000136987837283,1.0037247429682203,1.0076163308744828
2,3,1.006886139905646,1.0083587710001005,1.0044286839013181
3,1,0.9887185933950637,1.0114568991112503,1.0020856514262833
3,2,0.9932197044567349,1.0083587710001005,1.0044286839013181
3,3,1.000045454892263,1.0074087689709805,1.0048940902022943
