i,j,F_ij,delta_from_1
nu1,t,1.021432190112,0.021432190112
t,nu1,0.979017510590,-0.020982489410
d,t,1.020950964928,0.020950964928
t,d,0.979478970443,-0.020521029557
u,t,1.020229552214,0.020229552214
t,u,0.980171568084,-0.019828431916
e,t,1.019028330307,0.019028330307
nu2,t,1.019028330307,0.019028330307
t,e,0.981326985972,-0.018673014028
t,nu2,0.981326985972,-0.018673014028
s,t,1.018068371173,0.018068371173
t,s,0.982252300843,-0.017747699157
mu,t,1.016630127795,0.016630127795
nu1,b,1.016630127795,0.016630127795
nu3,t,1.016630127795,0.016630127795
