candidate_index,seed_p,seed_q,stopping_time_p,stopping_time_q,max_p,max_q,collatz_log_action_mean,branch_divergence,parity_closure_defect,poincare_path_length,poincare_path_length_per_step,poincare_mean_radius,poincare_max_radius,poincare_mean_hyperbolic_radius,zeta_alignment_min,zeta_alignment_slot1,zeta_alignment_slot2,zeta_alignment_slot3,collatz_log_action_mean_unit,branch_divergence_unit,parity_closure_defect_unit,poincare_path_length_per_step_unit,poincare_mean_hyperbolic_radius_unit,zeta_alignment_min_unit,eb_action_kernel_unit_v04,eb_action_kernel_kappa_v04,eb_action_rank_low_to_high
2,5,7,5,16,16,52,2.129306413929329,1.504830536883587,0.17411013764719518,12.497730908644568,0.7811081817902855,0.3998695861844514,0.6132336422204293,0.8624975424721794,0.10795024785418865,0.251532875654707,0.16912479105653397,0.1421521853097811,0.098687543142291,0.2170878294494087,1.0,0.28440471091881125,0.34407507666563714,0.1185628159826777,0.34380299602647096,0.003160632515107505,1
13,179,181,31,18,808,544,3.4846296720569354,1.4953724579602083,0.10493307410401775,19.608409079297388,0.6325293251386255,0.38136389482595906,0.7129560317519027,0.8406704737165402,0.26522215798587756,0.26522215798587756,0.49404734343434487,0.41525496692089364,0.4315047586565463,0.2147899432576509,0.5980868418915753,0.07611070172098312,0.2936197948970171,0.8433692458164598,0.40958021437337205,0.0037653323503716936,2
3,11,13,14,9,52,40,2.3747619982180015,0.9368254736367359,0.09891606205801073,14.70629701770202,1.0504497869787157,0.45283631913286154,0.7011927657594362,1.0161201826282196,0.15068575527144107,0.3511100909635968,0.2360781691756869,0.19842760746434981,0.15896234740429319,0.07908824176811038,0.5631284873456687,0.6619970820864477,0.6991879725788739,0.31551451913359313,0.4129797750528312,0.003796585021653686,3
4,17,19,12,20,52,88,2.668937244834078,1.0666827353024442,0.07001277477155987,21.304607219451956,1.0652303609725977,0.4425480039775125,0.6919272082608927,0.9860726027435158,0.17542558127091876,0.4087559018861537,0.2748378569587875,0.23100576638400103,0.23120089703801006,0.11063769392414195,0.39520272007510593,0.6827180990925806,0.6297302214478995,0.42953096963880855,0.41317010020275774,0.003798334709306944,4
1,3,5,7,5,16,16,1.7274235897444439,0.61129898096834,0.14119247367926868,9.04086200082075,1.2915517144029642,0.47488098828621367,0.7049218282402387,1.0737106117369568,0.0822239300779186,0.19158845849123193,0.12881957448637263,0.10827498387148209,0.0,0.0,0.8087510280825436,1.0,0.8323135589958024,0.0,0.44017743117972435,0.004046617154249624,5
6,41,43,109,29,9232,196,4.506571905366474,4.396185994044455,0.054747981717339744,72.9039154866929,0.6688432613458064,0.35287136997434176,0.47654495517015594,0.7433638559181535,0.22695485668016846,0.471176686674466,0.35556836115045337,0.29886109096601116,0.6824559368842258,0.9195566747928986,0.30651550396533467,0.12701952907911435,0.06868657670203615,0.66700980556079,0.4618740044973999,0.004246077007383014,6
5,29,31,18,106,88,9232,4.292540159243211,4.727289997975032,0.09665997123166004,65.36129354369956,0.6166159768273544,0.34011659516457415,0.4707704888317625,0.7136498878317192,0.20650585444794034,0.48117547149112283,0.32353107269038817,0.271933219909687,0.6298976639045323,1.0,0.5500207816618028,0.05380163841134084,0.0,0.5727681301770949,0.46774803569246176,0.004300077857301259,7
7,59,61,32,19,304,184,3.434330746197208,1.297433628854108,0.06456384452482822,33.14645875917695,1.0358268362242797,0.4322133450576263,0.6984317576105155,0.969274509722369,0.24862292381828577,0.42068832425318015,0.38951554886124884,0.32739426394476046,0.41915320462867595,0.16669974376784513,0.3635448749512011,0.6414970384894986,0.5908998807344454,0.7668696875360713,0.4914440716846229,0.004517919070733313,8
12,149,151,23,15,448,1024,3.7028777890800924,1.494517196719616,0.10612763049214169,20.544958091507162,0.8932590474568332,0.3846569163579108,0.6846399156618077,0.850620255242008,0.29102079861663865,0.29102079861663865,0.47670094410239566,0.4006750312598441,0.4850984162310683,0.21458215338710493,0.6050271181319773,0.44162999835967576,0.3166196322102151,0.9622653703341145,0.5042037814423593,0.004635220996573806,9
9,101,103,25,87,304,9232,4.5819921682011095,4.515051819106076,0.08413680876883933,50.3067547586281,0.5782385604440011,0.36246837535342274,0.5343339666318339,0.7688580605012176,0.28085113733366623,0.34559396010047205,0.4400072335517402,0.36983336038879694,0.7009763612327713,0.9484357040644603,0.47726221809838104,0.0,0.12761878102622065,0.9153972685799102,0.5282817221669572,0.00485657311749929,10
11,137,139,90,41,9232,628,4.9592946208827176,3.7656232209474645,0.03776181458337258,64.98577800414199,0.7220642000460221,0.3940545529792025,0.5960378368803361,0.8476477830923445,0.299208636143172,0.30281949170258704,0.4687677803053878,0.39400707582220434,0.7936278751466342,0.7663583877967428,0.2078272433295075,0.20163043230560596,0.3097484887901027,1.0,0.5465320712280989,0.005024351314086806,11
14,191,193,44,119,4372,9232,5.292926351852941,4.110265181371527,0.04140031686672341,91.32263844743265,0.7674171298103584,0.38727424988319886,0.6014709565972428,0.8300478350548907,0.2560899832495038,0.2560899832495038,0.4998123970064986,0.4204159566802933,0.8755554765825541,0.850090825258353,0.22896664804814665,0.2652111044306365,0.26906458627967594,0.8012825250425659,0.548361860940322,0.005041172845391368,12
8,71,73,102,115,9232,9232,5.797580664864055,1.2462865364013114,0.001990707995391028,145.64670101579063,1.2664930523112228,0.5052672755246859,0.7066945058930076,1.1462521445336955,0.25969707982491835,0.39488463819254593,0.4068653406216068,0.3419770509980204,0.9994798925817704,0.15427330934622857,0.0,0.9648700406649404,1.0,0.817906261529919,0.656088250687143,0.006031517705977548,13
10,107,109,100,113,9232,9232,5.799698685350353,1.2975634537526788,0.002325575874846608,145.23172652403005,1.2852365179117704,0.504722452285794,0.7066945058930076,1.145394857559929,0.28432242920648043,0.3375055671197986,0.4454456788018052,0.3744044636088205,1.0,0.16673128535723017,0.0019455553631162656,0.9911466703562891,0.9980183021228274,0.9313951328338557,0.6815394910055531,0.006265494776072622,14
