scale_name,reference_label_scoring_only,reference_energy_mev_scoring_only,scale_energy_mev,required_N_if_E_equals_E0_times_N,required_N_if_E_equals_E0_times_OI_times_N
oscillator_quantum_h_f0,electron_rest_energy,0.51099895,3.238227806691382e-20,1.5780203880162052e+19,1.7165176103124795e+21
oscillator_quantum_h_f0,muon_rest_energy,105.6583755,3.238227806691382e-20,3.262845661496407e+21,3.5492139900240234e+23
oscillator_quantum_h_f0,tau_rest_energy,1776.86,3.238227806691382e-20,5.487137119656458e+22,5.968723577729137e+24
oscillator_quantum_h_f0,proton_rest_energy,938.2720813,3.238227806691382e-20,2.8974863329910927e+22,3.151788376113087e+24
oscillator_quantum_hbar_omega0,electron_rest_energy,0.51099895,3.238227806691382e-20,1.578020388016205e+19,1.716517610312479e+21
oscillator_quantum_hbar_omega0,muon_rest_energy,105.6583755,3.238227806691382e-20,3.2628456614964064e+21,3.549213990024023e+23
oscillator_quantum_hbar_omega0,tau_rest_energy,1776.86,3.238227806691382e-20,5.487137119656457e+22,5.968723577729135e+24
oscillator_quantum_hbar_omega0,proton_rest_energy,938.2720813,3.238227806691382e-20,2.8974863329910923e+22,3.1517883761130866e+24
landauer_bit_300K,electron_rest_energy,0.51099895,1.79192407638041e-08,28516774.60755984,3101959022.5145764
landauer_bit_300K,muon_rest_energy,105.6583755,1.79192407638041e-08,5896364521.951411,641386740983.4366
landauer_bit_300K,tau_rest_energy,1776.86,1.79192407638041e-08,99159335120.33395,10786219636547.688
landauer_bit_300K,proton_rest_energy,938.2720813,1.79192407638041e-08,52361151550.307816,5695670310402.919
landauer_bit_2p725K,electron_rest_energy,0.51099895,1.6276643693788724e-10,3139461424.685487,341500075873.16437
landauer_bit_2p725K,muon_rest_energy,105.6583755,1.6276643693788724e-10,649141048288.2286,70611384328451.73
landauer_bit_2p725K,tau_rest_energy,1776.86,1.6276643693788724e-10,10916624049945.021,1187473721454791.2
landauer_bit_2p725K,proton_rest_energy,938.2720813,1.6276643693788724e-10,5764530445905.447,627046272704908.5
OI_weighted_landauer_300K,electron_rest_energy,0.51099895,1.6473426834174072e-10,3101959022.5145764,337420690445.43134
OI_weighted_landauer_300K,muon_rest_energy,105.6583755,1.6473426834174072e-10,641386740983.4366,69767896807914.48
OI_weighted_landauer_300K,tau_rest_energy,1776.86,1.6473426834174072e-10,10786219636547.688,1173288767080380.8
OI_weighted_landauer_300K,proton_rest_energy,938.2720813,1.6473426834174072e-10,5695670310402.919,619555898300608.9
OI_weighted_oscillator_h_f0,electron_rest_energy,0.51099895,2.976951398168157e-22,1.7165176103124795e+21,1.8671702399339387e+23
OI_weighted_oscillator_h_f0,muon_rest_energy,105.6583755,2.976951398168157e-22,3.5492139900240234e+23,3.8607158455680817e+25
OI_weighted_oscillator_h_f0,tau_rest_energy,1776.86,2.976951398168157e-22,5.968723577729137e+24,6.492577161908098e+26
OI_weighted_oscillator_h_f0,proton_rest_energy,938.2720813,2.976951398168157e-22,3.151788376113087e+24,3.428409602728611e+26
