operator_id,operator_name,status,content_files_count,filename_files_count,content_match_count_sampled,policy,required_for
OP-RAMANUJAN,Ramanujan scaling / suppression,SOURCE_INDEXED_CONTENT,85,18,40,SOURCE_INDEX_REQUIRED_BEFORE_OPERATOR_PROMOTION,DEBT-011;DEBT-007;charged-lepton scaling
OP-OI,Information Operator OI = ln2/(24*pi),SOURCE_INDEXED_CONTENT,105,0,40,SOURCE_INDEX_REQUIRED_BEFORE_OPERATOR_PROMOTION,DEBT-011;DEBT-007;DEBT-006
OP-COLLATZ,Collatz dynamics / orbital transition routes,SOURCE_INDEXED_CONTENT,191,55,40,SOURCE_INDEX_REQUIRED_BEFORE_OPERATOR_PROMOTION,DEBT-011;DEBT-009;DEBT-007
OP-WHITE-THREAD,White Thread operator / sector basis,SOURCE_INDEXED_CONTENT,72,33,40,SOURCE_INDEX_REQUIRED_BEFORE_OPERATOR_PROMOTION,DEBT-011;DEBT-009;lepton gate derivability
OP-SIGMA-R,"sigma/R(n), sigma(n)/n prime-product route",SOURCE_INDEXED_CONTENT,19,0,40,SOURCE_INDEX_REQUIRED_BEFORE_HADRON_PROMOTION,DEBT-011;DEBT-009;hadron-scale carrier
OP-F-HADRON,F_hadron / hadron-scale structural candidate,SOURCE_INDEXED_CONTENT,28,14,40,STRUCTURAL_HINT_ONLY_UNTIL_NON_MASS_SCALE_DERIVED,DEBT-011;DEBT-009;DEBT-005
OP-KAPPA-EB,Euler-Berry / kappa action,SOURCE_INDEXED_CONTENT,169,19,40,SOURCE_INDEX_REQUIRED_BEFORE_ABSOLUTE_ACTION_PROMOTION,DEBT-011;DEBT-007;lepton release
OP-TWIN-PRIME,twin-prime / p+1 seed axis,SOURCE_INDEXED_CONTENT,122,13,40,SOURCE_INDEX_REQUIRED_BEFORE_OPERATOR_PROMOTION,DEBT-011;source-axis grammar
OP-WIJ,W_ij holonomic gluon / white-thread coupling,SOURCE_INDEXED_CONTENT,40,0,40,SOURCE_INDEX_REQUIRED_BEFORE_HADRON_PROMOTION,DEBT-011;DEBT-009;triplet/meson aggregation
OP-PLANCK-E0,Planck E0 dimensional normalizer,SOURCE_INDEXED_CONTENT,13,0,31,ALLOWED_DIMENSIONAL_NORMALIZER_NOT_SPECTRUM_CLOSURE,DEBT-006;DEBT-007
